rank,full_name,url,description,stars,forks,language,created_at,updated_at,last_commit_date,open_issues,topics,license,readme_summary,has_readme,top_contributor,contributor_count,recent_commits,activity_score,id
249,xingshaocheng/architect-awesome,https://github.com/xingshaocheng/architect-awesome,后端架构师技术图谱,60659,17809,未知,2018-04-06,2024-04-11,2022-08-04,64,,无,![互联网大厂内推](互联网大厂内推.jpeg) <h1>《后端架构师技术图谱》</h1> :thumbsup: :thumbsup: :thumbsup:  推荐一个在线搜课程的神器，“[课程搜](https://www.kcsou.com)”：[https://www.kcsou.com/s_架构师/](https://www.kcsou.com/s_%E6%9E%B6%E6%9E%84%E5%B8%88/)...,True,xingshaocheng,3,5,60.0,128398636
250,toeverything/AFFiNE,https://github.com/toeverything/AFFiNE,"There can be more than Notion and Miro. AFFiNE(pronounced [ə‘fain]) is a next-gen knowledge base that brings planning, sorting and creating all together. Privacy first, open-source, customizable and r",60430,4139,TypeScript,2022-07-31,2025-12-06,2025-12-06,552,"app, crdt, editor",Other,"<div align=""center""> <h1 style=""border-bottom: none""> <b><a href=""https://affine.pro"">AFFiNE.Pro</a></b><br />...",True,himself65,3,5,100.0,519859998
251,tldr-pages/tldr,https://github.com/tldr-pages/tldr,📚 Collaborative cheatsheets for console commands,60319,4948,Markdown,2013-12-08,2025-12-06,2025-12-06,198,"android, bsd, cheatsheet",Other,"<!-- markdownlint-disable MD041 --> <div align=""center""> <h1><a href=""https://tldr.sh/""><img alt=""tldr-pages"" src=""images/banner.png"" width=600/></a></h1>...",True,Managor,3,5,100.0,15019962
252,traefik/traefik,https://github.com/traefik/traefik,The Cloud Native Application Proxy,60236,5701,Go,2015-09-13,2025-12-05,2025-12-01,706,"consul, docker, etcd",MIT License,"<p align=""center""> <picture> <source media=""(prefers-color-scheme: dark)"" srcset=""docs/content/assets/img/traefik.logo-dark.png"">...",True,ldez,3,5,90.0,42408804
253,gorhill/uBlock,https://github.com/gorhill/uBlock,uBlock Origin - An efficient blocker for Chromium and Firefox. Fast and lean.,60149,3847,JavaScript,2015-04-01,2025-12-05,2025-12-05,18,"blocker, browser-extension, chromium",GNU General Public License v3.0,[![Badge Commits]][Commit Rate] [![Badge Issues]][Issues] [![Badge Localization]][Crowdin]...,True,gorhill,3,5,100.0,33263118
254,adam-p/markdown-here,https://github.com/adam-p/markdown-here,"Google Chrome, Firefox, and Thunderbird extension that lets you write email in Markdown and render it before sending.",60099,11169,JavaScript,2012-05-13,2025-08-22,2025-07-10,315,,MIT License,[**Visit the website.**](https://markdown-here.com)<br> [**Get it for Chrome.**](https://chrome.google.com/webstore/detail/elifhakcjgalahccnjkneoccemfahfoa)<br> [**Get it for Firefox.**](https://addons.mozilla.org/firefox/addon/markdown-here/)<br>...,True,adam-p,3,5,75.0,4311796
255,FoundationAgents/MetaGPT,https://github.com/FoundationAgents/MetaGPT,"🌟 The Multi-Agent Framework: First AI Software Company, Towards Natural Language Programming",59857,7326,Python,2023-06-30,2025-10-04,2025-10-04,57,"agent, gpt, llm",MIT License,"<p align=""center""> <a href=""""><img src=""docs/resources/MetaGPT-new-log.png"" alt=""MetaGPT logo: Enable GPT to work in a software company, collaborating to tackle more complex tasks."" width=""150px""></a> </p>...",True,geekan,3,5,80.0,660551251
256,jquery/jquery,https://github.com/jquery/jquery,jQuery JavaScript Library,59651,20528,JavaScript,2009-04-03,2025-12-02,2025-12-02,92,jquery,MIT License,Meetings are currently held on the [matrix.org platform](https://matrix.to/#/#jquery_meeting:gitter.im). Meeting minutes can be found at [meetings.jquery.org](https://meetings.jquery.org/category/core/). The latest version of jQuery is available at [https://jquery.com/download/](https://jquery.com/download/)....,True,jeresig,3,5,100.0,167174
257,youngyangyang04/leetcode-master,https://github.com/youngyangyang04/leetcode-master,《代码随想录》LeetCode 刷题攻略：200道经典题目刷题顺序，共60w字的详细图解，视频难点剖析，50余张思维导图，支持C++，Java，Python，Go，JavaScript等多语言版本，从此算法学习不再迷茫！🔥🔥 来看看，你会发现相见恨晚！🚀 ,59469,12268,Shell,2019-12-14,2025-11-07,2025-11-07,234,"algorithm, cpp, go",无,"<p align=""center""> <a href=""https://keetcoder.com/"">🌍 海外英文版</a> · <a href=""https://github.com/youngyangyang04/keetcoder"">🌍🇸 英文仓库</a> ·...",True,youngyangyang04,3,5,90.0,228016443
258,spring-projects/spring-framework,https://github.com/spring-projects/spring-framework,Spring Framework,59309,38864,Java,2010-12-08,2025-12-05,2025-12-05,337,"framework, spring, spring-framework",Apache License 2.0,"This is the home of the Spring Framework: the foundation for all [Spring projects](https://spring.io/projects). Collectively the Spring Framework and the family of Spring projects are often referred to simply as ""Spring"". Spring provides everything required beyond the Java programming language for creating enterprise applications for a wide range of scenarios and architectures. Please read the [Ov...",True,jhoeller,3,5,100.0,1148753
259,shadowsocks/shadowsocks-windows,https://github.com/shadowsocks/shadowsocks-windows,A C# port of shadowsocks,59157,16353,C#,2013-01-14,2025-01-01,2024-07-28,199,"c-sharp, proxy, shadowsocks",Other,"<img src=""shadowsocks-csharp/Resources/ssw128.png"" alt=""[logo]"" width=""48""/> Shadowsocks for Windows ======================= [![Build Status]][Appveyor]...",True,celeron533,3,5,75.0,7600409
260,scrapy/scrapy,https://github.com/scrapy/scrapy,"Scrapy, a fast high-level web crawling & scraping framework for Python.",59142,11181,Python,2010-02-22,2025-11-30,2025-11-30,681,"crawler, crawling, framework","BSD 3-Clause ""New"" or ""Revised"" License",|logo| .. |logo| image:: https://raw.githubusercontent.com/scrapy/scrapy/master/docs/_static/logo.svg :target: https://scrapy.org...,True,pablohoffman,3,5,90.0,529502
261,commaai/openpilot,https://github.com/commaai/openpilot,"openpilot is an operating system for robotics. Currently, it upgrades the driver assistance system on 300+ supported cars.",59135,10458,Python,2016-11-24,2025-12-06,2025-12-06,220,"advanced-driver-assistance-systems, driver-assistance-systems, robotics",MIT License,"<div align=""center"" style=""text-align: center;""> <h1>openpilot</h1> <p>...",True,adeebshihadeh,3,5,100.0,74627617
262,nuxt/nuxt,https://github.com/nuxt/nuxt,The Progressive Web Framework.,59007,5451,TypeScript,2016-10-26,2025-12-06,2025-12-03,936,"csr, framework, full-stack",MIT License,"[![Nuxt banner](./.github/assets/banner.svg)](https://nuxt.com) <p> <a href=""https://www.npmjs.com/package/nuxt""><img src=""https://img.shields.io/npm/v/nuxt.svg?style=flat&colorA=18181B&colorB=28CF8D"" alt=""Version""></a>...",True,danielroe,3,5,90.0,71995937
263,minio/minio,https://github.com/minio/minio,"MinIO is a high-performance, S3 compatible object store, open sourced under GNU AGPLv3 license.",58998,6637,Go,2015-01-14,2025-12-03,2025-12-03,75,"amazon-s3, cloud, cloudnative",GNU Affero General Public License v3.0,"**This project is currently under maintenance and is not accepting new changes.** - The codebase is in a maintenance-only state - No new features, enhancements, or pull requests will be accepted...",True,harshavardhana,3,5,100.0,29261473
264,nocodb/nocodb,https://github.com/nocodb/nocodb,🔥 🔥 🔥 Open Source Airtable Alternative,58993,4385,TypeScript,2017-10-29,2025-12-06,2025-12-06,519,"airtable, airtable-alternative, automatic-api",GNU Affero General Public License v3.0,"<h1 align=""center"" style=""border-bottom: none""> <div> <a style=""color:#36f"" href=""https://www.nocodb.com"">...",True,o1lab,3,5,100.0,108761645
265,CorentinJ/Real-Time-Voice-Cloning,https://github.com/CorentinJ/Real-Time-Voice-Cloning,Clone a voice in 5 seconds to generate arbitrary speech in real-time,58972,9388,Python,2019-05-26,2025-09-23,2025-09-23,172,"deep-learning, python, pytorch",Other,"This repository is an implementation of [Transfer Learning from Speaker Verification to Multispeaker Text-To-Speech Synthesis](https://arxiv.org/pdf/1806.04558.pdf) (SV2TTS) with a vocoder that works in real-time. This was my [master's thesis](https://matheo.uliege.be/handle/2268.2/6801). SV2TTS is a deep learning framework in three stages. In the first stage, one creates a digital representation ...",True,CorentinJ,3,5,80.0,188660663
266,meta-llama/llama,https://github.com/meta-llama/llama,Inference code for Llama models,58970,9813,Python,2023-02-14,2025-01-26,2025-01-26,506,,Other,"Thank you for developing with Llama models. As part of the Llama 3.1 release, we’ve consolidated GitHub repos and added some additional repos as we’ve expanded Llama’s functionality into being an e2e Llama Stack. Please use the following repos going forward: - [llama-models](https://github.com/meta-llama/llama-models) - Central repo for the foundation models including basic utilities, model cards,...",True,jspisak,3,5,75.0,601538369
267,angular/angular.js,https://github.com/angular/angular.js,AngularJS - HTML enhanced for web apps!,58967,27317,JavaScript,2010-01-06,2024-04-12,2024-04-12,461,,MIT License,AngularJS [![CircleCI](https://circleci.com/gh/angular/angular.js/tree/master.svg?style=shield)](https://circleci.com/gh/angular/workflows/angular.js/tree/master) ========= AngularJS lets you write client-side web applications as if you had a smarter browser.  It lets you...,True,IgorMinar,3,5,60.0,460078
268,jgraph/drawio-desktop,https://github.com/jgraph/drawio-desktop,Official electron build of draw.io,58275,5521,JavaScript,2017-05-25,2025-11-17,2025-11-17,81,"diagram-editor, electron-app, graphics",Apache License 2.0,About ----- **drawio-desktop** is a diagramming desktop app based on [Electron](https://electronjs.org/) that wraps the [core draw.io editor](https://github.com/jgraph/drawio)....,True,davidjgraph,3,5,90.0,92443980
269,Solido/awesome-flutter,https://github.com/Solido/awesome-flutter,"An awesome list that curates the best Flutter libraries, tools, tutorials, articles and more.",58146,6826,Dart,2017-05-07,2025-11-19,2025-11-19,11,"android, awesome, awesome-list",无,"[<img src=""https://user-images.githubusercontent.com/1295961/45949308-cbb2f680-bffb-11e8-8054-28c35ed6d132.png"" align=""center"" width=""850"">](https://flutter.dev/) <p align=""center""> <a href=""https://github.com/sindresorhus/awesome"">...",True,Solido,3,5,90.0,90528830
270,rails/rails,https://github.com/rails/rails,Ruby on Rails,57947,22054,Ruby,2008-04-11,2025-12-06,2025-12-06,1388,"activejob, activerecord, framework",MIT License,Rails is a web application framework that includes everything needed to create database-backed web applications according to the [Model-View-Controller (MVC)](https://en.wikipedia.org/wiki/Model-view-controller)...,True,rafaelfranca,3,5,90.0,8514
271,git/git,https://github.com/git/git,Git Source Code Mirror - This is a publish-only repository but pull requests can be turned into patches to the mailing list via GitGitGadget (https://gitgitgadget.github.io/). Please follow Documentat,57890,27127,C,2008-07-23,2025-12-05,2025-12-01,293,"c, hacktoberfest, shell",Other,"[![Build status](https://github.com/git/git/workflows/CI/badge.svg)](https://github.com/git/git/actions?query=branch%3Amaster+event%3Apush) Git - fast, scalable, distributed revision control system =========================================================...",True,gitster,3,5,100.0,36502
272,BurntSushi/ripgrep,https://github.com/BurntSushi/ripgrep,ripgrep recursively searches directories for a regex pattern while respecting your gitignore,57852,2332,Rust,2016-03-11,2025-11-29,2025-11-29,96,"cli, command-line, command-line-tool",The Unlicense,ripgrep (rg) ------------ ripgrep is a line-oriented search tool that recursively searches the current...,True,BurntSushi,3,5,90.0,53631945
273,FuelLabs/fuel-core,https://github.com/FuelLabs/fuel-core,Rust full node implementation of the Fuel v2 protocol.,57442,2856,Rust,2020-08-27,2025-12-01,2025-12-01,162,"blockchain, fuel",Other,[![build](https://github.com/FuelLabs/fuel-core/actions/workflows/ci.yml/badge.svg)](https://github.com/FuelLabs/fuel-core/actions/workflows/ci.yml) [![deepwiki](https://deepwiki.com/badge.svg)](https://deepwiki.com/FuelLabs/fuel-core) [![crates.io](https://img.shields.io/crates/v/fuel-core?label=latest)](https://crates.io/crates/fuel-core)...,True,xgreenx,3,5,100.0,290882787
274,topjohnwu/Magisk,https://github.com/topjohnwu/Magisk,The Magic Mask for Android,57368,16075,Rust,2016-09-08,2025-12-06,2025-12-05,43,,GNU General Public License v3.0,"![](docs/images/logo.png) [![Downloads](https://img.shields.io/badge/dynamic/json?color=green&label=Downloads&query=totalString&url=https%3A%2F%2Fraw.githubusercontent.com%2Ftopjohnwu%2Fmagisk-files%2Fcount%2Fcount.json&cacheSeconds=1800)](https://raw.githubusercontent.com/topjohnwu/magisk-files/count/count.json) Magisk is a suite of open source software for customizing Android, supporting devices...",True,topjohnwu,3,5,100.0,67702184
275,FiloSottile/mkcert,https://github.com/FiloSottile/mkcert,A simple zero-config tool to make locally trusted development certificates with any names you'd like.,57346,3013,Go,2018-06-25,2024-08-13,2024-04-18,162,"certificates, chrome, firefox","BSD 3-Clause ""New"" or ""Revised"" License",mkcert is a simple tool for making locally-trusted development certificates. It requires no configuration. ``` $ mkcert -install...,True,FiloSottile,3,5,60.0,138547797
276,h5bp/html5-boilerplate,https://github.com/h5bp/html5-boilerplate,"A professional front-end template for building fast, robust, and adaptable web apps or sites.",57283,12325,JavaScript,2010-01-24,2025-12-01,2025-12-01,18,"best-practices, css, html",MIT License,[![Build status](https://github.com/h5bp/html5-boilerplate/workflows/Build%20status/badge.svg)](https://github.com/h5bp/html5-boilerplate/actions?query=workflow%3A%22Build+status%22+branch%3Amain) [![LICENSE](https://img.shields.io/badge/license-MIT-lightgrey.svg)](https://github.com/h5bp/html5-boilerplate/blob/main/LICENSE.txt) [![NPM Downloads](https://img.shields.io/npm/dt/html5-boilerplate.svg...,True,paulirish,3,5,100.0,486550
277,PlexPt/awesome-chatgpt-prompts-zh,https://github.com/PlexPt/awesome-chatgpt-prompts-zh,ChatGPT 中文调教指南。各种场景使用指南。学习怎么让它听你的话。,57067,13581,未知,2022-12-12,2025-01-01,2025-01-01,41,"chat-gpt, chatgpt, chatgpt3",MIT License,[![Hits](https://hits.seeyoufarm.com/api/count/incr/badge.svg?url=https%3A%2F%2Fgithub.com%2FPlexPt%2Fawesome-chatgpt-prompts-zh&count_bg=%2379C83D&title_bg=%23555555&icon=&icon_color=%23E7E7E7&title=hits&edge_flat=true)](https://hits.seeyoufarm.com) ChatGPT是由[OpenAI](https://openai.com/)训练的一款大型语言模型，能够和你进行任何领域的对话。 [国内中文版](https://chat.aimakex.com/i/1)...,True,PlexPt,3,5,75.0,577116112
278,scutan90/DeepLearning-500-questions,https://github.com/scutan90/DeepLearning-500-questions,深度学习500问，以问答形式对常用的概率知识、线性代数、机器学习、深度学习、计算机视觉等热点问题进行阐述，以帮助自己及有需要的读者。 全书分为18个章节，50余万字。由于水平有限，书中不妥之处恳请广大读者批评指正。   未完待续............ 如有意合作，联系scutjy2015@163.com                     版权所有，违权必究       Tan 2018.0,56932,15982,JavaScript,2018-06-27,2024-06-26,2021-10-14,121,,GNU General Public License v3.0,本书系统地描述了深度学习的基本理论算法及应用。全书共14章，第1-3章论述了数学基础、机器学习基础和深度学习基础；第4-7章介绍了一些经典网络及计算机视觉领域中常用的CNN、RNN、GAN等网络结构技术；第8-9章介绍了深度学习在计算机视觉领域的目标检测及图像分割两大应用；第10-14章介绍了计算机视觉领域主要的优化方法及思路等，包括迁移学习、网络架构及训练、网络优化技巧、超参数调整及模型的压缩和加速等。本书凝聚了众多一线科研人员及工程师的经验，旨在培养读者发现问题、解决问题、扩展问题的能力。 本书内容取材于编者在日常学习过程中总结的知识点及各大公司常见的笔试、面试题。本书可为高等院校计算机科学、信息科学、人工智能、控制科学与工程、电子科学与技术等领域的研究及教学人员提供参考，也可为相关专业本科生及研究生提供思考方向，还可为深度学习及计算机视觉领域的初、中级研究人员和工程技术人员提供参考，...,True,scutan90,3,5,60.0,138839979
279,zylon-ai/private-gpt,https://github.com/zylon-ai/private-gpt,"Interact with your documents using the power of GPT, 100% privately, no data leaks",56888,7599,Python,2023-05-02,2024-11-13,2024-11-13,285,,Apache License 2.0,"<a href=""https://trendshift.io/repositories/2601"" target=""_blank""><img src=""https://trendshift.io/api/badge/repositories/2601"" alt=""imartinez%2FprivateGPT | Trendshift"" style=""width: 250px; height: 55px;"" width=""250"" height=""55""/></a> [![Tests](https://github.com/zylon-ai/private-gpt/actions/workflows/tests.yml/badge.svg)](https://github.com/zylon-ai/private-gpt/actions/workflows/tests.yml?query=b...",True,imartinez,3,5,60.0,635240594
280,unclecode/crawl4ai,https://github.com/unclecode/crawl4ai,"🚀🤖 Crawl4AI: Open-source LLM Friendly Web Crawler & Scraper. Don't be shy, join here: https://discord.gg/jP8KfhDhyN",56838,5725,Python,2024-05-09,2025-12-03,2025-12-01,269,,Apache License 2.0,"<div align=""center""> <a href=""https://trendshift.io/repositories/11716"" target=""_blank""><img src=""https://trendshift.io/api/badge/repositories/11716"" alt=""unclecode%2Fcrawl4ai | Trendshift"" style=""width: 250px; height: 55px;"" width=""250"" height=""55""/></a> [![GitHub Stars](https://img.shields.io/github/stars/unclecode/crawl4ai?style=social)](https://github.com/unclecode/crawl4ai/stargazers)...",True,unclecode,3,5,100.0,798201435
281,soimort/you-get,https://github.com/soimort/you-get,:arrow_double_down: Dumb downloader that scrapes the web,56601,9804,Python,2012-08-20,2025-04-27,2025-04-27,381,,Other,[![Build Status](https://github.com/soimort/you-get/workflows/develop/badge.svg)](https://github.com/soimort/you-get/actions) [![PyPI version](https://img.shields.io/pypi/v/you-get.svg)](https://pypi.python.org/pypi/you-get/) [![Gitter](https://badges.gitter.im/Join%20Chat.svg)](https://gitter.im/soimort/you-get?utm_source=badge&utm_medium=badge&utm_campaign=pr-badge&utm_content=badge)...,True,soimort,3,5,75.0,5483330
282,LadybirdBrowser/ladybird,https://github.com/LadybirdBrowser/ladybird,Truly independent web browser,56408,2527,C++,2024-05-30,2025-12-05,2025-12-05,644,"browser, browser-engine","BSD 2-Clause ""Simplified"" License","[Ladybird](https://ladybird.org) is a truly independent web browser, using a novel engine based on web standards. > [!IMPORTANT] > Ladybird is in a pre-alpha state, and only suitable for use by developers...",True,awesomekling,3,5,90.0,808045485
283,ultralytics/yolov5,https://github.com/ultralytics/yolov5,YOLOv5 🚀 in PyTorch > ONNX > CoreML > TFLite,56284,17357,Python,2020-05-18,2025-11-25,2025-11-25,125,"coreml, deep-learning, ios",GNU Affero General Public License v3.0,"<div align=""center""> <p> <a href=""https://www.ultralytics.com/events/yolovision?utm_source=github&utm_medium=org&utm_campaign=yv25_event"" target=""_blank"">...",True,glenn-jocher,3,5,90.0,264818686
284,sharkdp/bat,https://github.com/sharkdp/bat,A cat(1) clone with wings.,56093,1420,Rust,2018-04-21,2025-12-05,2025-12-05,328,"cli, command-line, git",Apache License 2.0,"<p align=""center""> <img src=""doc/logo-header.svg"" alt=""bat - a cat clone with wings""><br> <a href=""https://github.com/sharkdp/bat/actions?query=workflow%3ACICD""><img src=""https://github.com/sharkdp/bat/workflows/CICD/badge.svg"" alt=""Build Status""></a>...",True,sharkdp,3,5,100.0,130464961
285,pmndrs/zustand,https://github.com/pmndrs/zustand,🐻 Bear necessities for state management in React,56013,1881,TypeScript,2019-04-09,2025-12-05,2025-12-05,2,"hacktoberfest, hooks, react",MIT License,"<p align=""center""> <img src=""docs/bear.jpg"" /> </p>...",True,dai-shi,3,5,100.0,180328715
286,remix-run/react-router,https://github.com/remix-run/react-router,Declarative routing for React,55993,10804,TypeScript,2014-05-16,2025-12-06,2025-12-04,145,,MIT License,[![npm package][npm-badge]][npm] [![build][build-badge]][build] [npm-badge]: https://img.shields.io/npm/v/react-router-dom.svg [npm]: https://www.npmjs.org/package/react-router-dom...,True,mjackson,3,5,100.0,19872456
287,gatsbyjs/gatsby,https://github.com/gatsbyjs/gatsby,"The best React-based framework with performance, scalability and security built in.",55963,10263,JavaScript,2015-05-21,2025-12-05,2025-11-27,350,"blog, compiler, gatsby",MIT License,"<p align=""center""> <a href=""https://www.gatsbyjs.com""> <img alt=""Gatsby"" src=""https://www.gatsbyjs.com/Gatsby-Monogram.svg"" width=""60"" />...",True,KyleAMathews,3,5,100.0,36040894
288,ageitgey/face_recognition,https://github.com/ageitgey/face_recognition,The world's simplest facial recognition api for Python and the command line,55862,13707,Python,2017-03-03,2024-08-21,2022-06-10,830,"face-detection, face-recognition, machine-learning",MIT License,_You can also read a translated version of this file [in Chinese 简体中文版](https://github.com/ageitgey/face_recognition/blob/master/README_Simplified_Chinese.md) or [in Korean 한국어](https://github.com/ageitgey/face_recognition/blob/master/README_Korean.md) or [in Japanese 日本語](https://github.com/m-i-k-i/face_recognition/blob/master/README_Japanese.md)._ Recognize and manipulate faces from Python or fr...,True,ageitgey,3,5,50.0,83844720
289,azl397985856/leetcode,https://github.com/azl397985856/leetcode,LeetCode Solutions: A Record of My Problem Solving Journey.( leetcode题解，记录自己的leetcode解题之路。),55731,9472,JavaScript,2018-03-30,2025-07-16,2025-07-16,10,"algo, algorithm, algorithms",Other,[![Travis](https://p.ipic.vip/k4pv1r.jpg)]() [![Travis](https://p.ipic.vip/32nfgh.jpg)]() [![Travis](https://p.ipic.vip/4a36ao.jpg)]() [![Travis](https://p.ipic.vip/fd1f82.jpg)]() [![Travis](https://p.ipic.vip/mhz5uy.jpg)]() [![Travis](https://p.ipic.vip/gp1hvz.jpg)]() [![](https://img.shields.io/badge/WeChat-微信群-brightgreen)](#哪里能找到我) [![](https://img.shields.io/badge/公众号-力扣加加-blueviolet)](#哪里能找到...,True,azl397985856,3,5,75.0,127407957
290,FFmpeg/FFmpeg,https://github.com/FFmpeg/FFmpeg,Mirror of https://git.ffmpeg.org/ffmpeg.git,55321,13253,C,2011-04-14,2025-12-05,2025-12-05,3,"audio, c, ffmpeg",Other,FFmpeg README ============= FFmpeg is a collection of libraries and tools to process multimedia content...,True,michaelni,3,5,100.0,1614410
291,OpenBB-finance/OpenBB,https://github.com/OpenBB-finance/OpenBB,"Financial data platform for analysts, quants and AI agents.",55189,5354,Python,2020-12-20,2025-12-05,2025-12-05,50,"ai, crypto, derivatives",Other,"<br /> <img src=""https://github.com/OpenBB-finance/OpenBB/blob/develop/images/odp-light.svg?raw=true#gh-light-mode-only"" alt=""Open Data Platform by OpenBB logo"" width=""600""> <img src=""https://github.com/OpenBB-finance/OpenBB/blob/develop/images/odp-dark.svg?raw=true#gh-dark-mode-only"" alt=""Open Data Platform by OpenBB logo"" width=""600"">...",True,jmaslek,3,5,100.0,323048702
292,AntonOsika/gpt-engineer,https://github.com/AntonOsika/gpt-engineer,CLI platform to experiment with codegen. Precursor to: https://lovable.dev,55089,7346,Python,2023-04-29,2025-05-14,2024-11-17,66,"ai, autonomous-agent, code-generation",MIT License,[![GitHub Repo stars](https://img.shields.io/github/stars/gpt-engineer-org/gpt-engineer?style=social)](https://github.com/gpt-engineer-org/gpt-engineer) [![Discord Follow](https://dcbadge.vercel.app/api/server/8tcDQ89Ej2?style=flat)](https://discord.gg/8tcDQ89Ej2) [![License](https://img.shields.io/github/license/gpt-engineer-org/gpt-engineer)](https://github.com/gpt-engineer-org/gpt-engineer/blob...,True,ATheorell,3,5,75.0,634224458
293,meilisearch/meilisearch,https://github.com/meilisearch/meilisearch,A lightning-fast search engine API bringing AI-powered hybrid search to your sites and applications.,54817,2285,Rust,2018-04-23,2025-12-05,2025-12-04,277,"ai, api, app-search",Other,"<p align=""center""> <a href=""https://www.meilisearch.com/?utm_campaign=oss&utm_source=github&utm_medium=meilisearch&utm_content=logo#gh-light-mode-only"" target=""_blank""> <img src=""assets/meilisearch-logo-light.svg?sanitize=true#gh-light-mode-only"">...",True,Kerollmops,3,5,100.0,130688011
294,deepfakes/faceswap,https://github.com/deepfakes/faceswap,Deepfakes Software For All,54773,13430,Python,2017-12-19,2025-11-24,2025-11-23,45,"deep-face-swap, deep-learning, deep-neural-networks",GNU General Public License v3.0,"<p align=""center""> <a href=""https://faceswap.dev""><img src=""https://i.imgur.com/zHvjHnb.png""></img></a> <br />FaceSwap is a tool that utilizes deep learning to recognize and swap faces in pictures and videos....",True,torzdf,3,5,90.0,114747226
295,withastro/astro,https://github.com/withastro/astro,The web framework for content-driven websites. ⭐️ Star to support our work!,54751,3022,TypeScript,2021-03-15,2025-12-05,2025-12-05,261,"astro, blog, browser",Other,"![Build the web you want](.github/assets/banner.jpg 'Build the web you want') <p align=""center""> <br/>...",True,matthewp,3,5,100.0,348060227
296,Textualize/rich,https://github.com/Textualize/rich,Rich is a Python library for rich text and beautiful formatting in the terminal.,54668,1958,Python,2019-11-10,2025-12-02,2025-12-02,332,"ansi-colors, emoji, markdown",MIT License,[![Supported Python Versions](https://img.shields.io/pypi/pyversions/rich)](https://pypi.org/project/rich/) [![PyPI version](https://badge.fury.io/py/rich.svg)](https://badge.fury.io/py/rich) [![Downloads](https://pepy.tech/badge/rich/month)](https://pepy.tech/project/rich) [![codecov](https://img.shields.io/codecov/c/github/Textualize/rich?label=codecov&logo=codecov)](https://codecov.io/gh/Textua...,True,willmcgugan,3,5,100.0,220809393
297,wasabeef/awesome-android-ui,https://github.com/wasabeef/awesome-android-ui,A curated list of awesome Android UI/UX libraries,54638,10249,未知,2014-12-24,2024-07-06,2022-08-18,38,"android, awesome, ui",MIT License,List of Android UI/UX Libraries ================== [![Awesome](https://cdn.rawgit.com/sindresorhus/awesome/d7305f38d29fed78fa85652e3a63e154dd8e8829/media/badge.svg)](https://github.com/wasabeef/awesome-android-ui)...,True,wasabeef,3,5,60.0,28428729
298,pi-hole/pi-hole,https://github.com/pi-hole/pi-hole,A black hole for Internet advertisements,54631,2932,Shell,2014-06-08,2025-12-04,2025-11-27,49,"ad-blocker, blocker, cloud",Other,"<!-- markdownlint-configure-file { ""MD004"": { ""style"": ""consistent"" } } --> <!-- markdownlint-disable MD033 --> <p align=""center"">...",True,PromoFaux,3,5,100.0,20619036
299,golang-standards/project-layout,https://github.com/golang-standards/project-layout,Standard Go Project Layout,54631,5412,Makefile,2017-09-09,2025-10-09,2025-10-09,95,"go, golang, project-structure",Other,Translations: * [한국어 문서](README_ko.md) * [简体中文](README_zh.md)...,True,kcq,3,5,80.0,102969245
300,cline/cline,https://github.com/cline/cline,"Autonomous coding agent right in your IDE, capable of creating/editing files, executing commands, using the browser, and more with your permission every step of the way.",54521,5366,TypeScript,2024-07-06,2025-12-06,2025-12-06,995,,Apache License 2.0,"<div align=""center""><sub> English | <a href=""https://github.com/cline/cline/blob/main/locales/es/README.md"" target=""_blank"">Español</a> | <a href=""https://github.com/cline/cline/blob/main/locales/de/README.md"" target=""_blank"">Deutsch</a> | <a href=""https://github.com/cline/cline/blob/main/locales/ja/README.md"" target=""_blank"">日本語</a> | <a href=""https://github.com/cline/cline/blob/main/locales/zh-c...",True,saoudrizwan,3,5,90.0,824874689
301,lencx/ChatGPT,https://github.com/lencx/ChatGPT,"🔮 ChatGPT Desktop Application (Mac, Windows and Linux)",54350,6197,Rust,2022-12-07,2024-08-29,2024-08-29,893,"ai, app, application",无,"<p align=""center""> <img width=""180"" src=""./public/ChatGPT.png"" alt=""ChatGPT""> <p align=""center"">ChatGPT Desktop Application (Available on Mac, Windows, and Linux)</p>...",True,lencx,3,5,50.0,575340621
302,ElemeFE/element,https://github.com/ElemeFE/element,A Vue.js 2.0 UI Toolkit for Web,54234,14579,Vue,2016-09-03,2024-08-20,2024-04-02,2952,"components, element-ui, javascript",MIT License,"<p align=""center""> <img src=""https://cdn.rawgit.com/ElemeFE/element/dev/element_logo.svg""> </p>...",True,Leopoldthecoder,3,5,50.0,67274736
303,Z4nzu/hackingtool,https://github.com/Z4nzu/hackingtool,ALL IN ONE Hacking Tool For Hackers,54179,5910,Python,2020-04-11,2025-10-14,2025-10-14,76,"allinonehackingtool, besthackingtool, ctf-tools",MIT License,![](https://img.shields.io/github/license/Z4nzu/hackingtool) ![](https://img.shields.io/github/issues/Z4nzu/hackingtool) ![](https://img.shields.io/github/issues-closed/Z4nzu/hackingtool)...,True,Z4nzu,3,5,80.0,254832799
304,rust-unofficial/awesome-rust,https://github.com/rust-unofficial/awesome-rust,A curated list of Rust code and resources.,54155,3094,Rust,2014-07-17,2025-12-02,2025-12-02,11,"awesome, rust",Creative Commons Zero v1.0 Universal,"A curated list of Rust code and resources. If you want to contribute, please read [this](CONTRIBUTING.md). <!-- toc -->...",True,palfrey,3,5,100.0,21938243
